id,date_start,latitude,longitude,best
200513,1993-04-12,43.85,18.383333,1
200725,1993-04-12,44.106389,19.296944,56
200706,1993-04-13,44.085,19.359167,6
200727,1993-04-14,44.106389,19.296944,8
200315,1993-04-15,44.510278,18.025833,1
200728,1993-04-16,44.106389,19.296944,7
199734,1993-04-16,44.154444,17.790278,7
200049,1993-04-17,44.13,18.582778,1
200729,1993-04-17,44.106389,19.296944,12
199452,1993-04-18,43.85,18.383333,5
200514,1993-04-18,43.85,18.383333,5
199369,1993-04-20,43.85,18.383333,2
199531,1993-04-24,44.230278,17.7975,5
200150,1993-04-24,43.881944,18.389167,2
199934,1993-04-30,44.856389,18.799444,10
200177,1993-04-30,44.841389,18.512222,1
200218,1993-04-30,44.867222,18.463056,1
199916,1993-05-02,43.85,18.383333,5
200459,1993-05-04,43.85,18.383333,2
200676,1993-05-04,43.85,18.383333,3
200258,1993-05-07,44.151944,19.323889,2
200868,1993-05-07,43.954167,19.133056,99
199760,1993-05-08,44.816944,15.870833,2
199678,1993-05-13,44.721667,18.821667,3
199884,1993-05-13,44.872778,18.808333,6
199933,1993-05-16,44.856389,18.799444,3
200178,1993-05-20,44.549167,18.096667,1
200460,1993-05-20,43.85,18.383333,2
200461,1993-05-21,43.85,18.383333,4
200462,1993-05-22,43.85,18.383333,12
200126,1993-05-23,43.833056,18.303889,6
200463,1993-05-23,43.85,18.383333,9
200465,1993-05-24,43.85,18.383333,7
200201,1993-05-25,44.549167,18.096667,12
200202,1993-05-27,44.549167,18.096667,1
200024,1993-05-28,43.666944,18.976389,0
200020,1993-05-30,43.666944,18.976389,18
200021,1993-05-31,43.666944,18.976389,30
199612,1993-06-01,44.549167,18.096667,3
199643,1993-06-01,43.85,18.383333,11
199950,1993-06-01,43.83,18.358611,11
200464,1993-06-01,43.85,18.383333,3
199561,1993-06-01,44.226667,17.670556,30
200082,1993-06-03,44.3975,18.767778,5
199132,1993-06-06,43.85,18.383333,1
200025,1993-06-06,43.666944,18.976389,2
200104,1993-06-06,44.880833,18.426944,3
200677,1993-06-06,43.85,18.383333,1
199717,1993-06-07,43.343333,17.808056,2
200026,1993-06-07,43.666944,18.976389,6
199732,1993-06-10,44.171111,17.6575,9
199709,1993-06-11,44.325833,17.58,2
200850,1993-06-11,44.445833,18.149722,4
199668,1993-06-12,44.445833,18.149722,4
200030,1993-06-12,43.666944,18.976389,57
200467,1993-06-12,43.85,18.383333,8
199598,1993-06-13,43.666944,18.976389,0
200028,1993-06-13,43.85,18.383333,12
200031,1993-06-13,43.666944,18.976389,67
